PosX,PosY
0,0
0,-100
0,-200
0,-300
0,-350
0.2,-351
0.4,-352
0.6,-353
0.8,-354
1,-355
1.2,-356
1.4,-357
1.6,-358
1.8,-359
2,-360
2.3,-361
2.6,-362
2.9,-363
3.2,-364
3.5,-365
3.8,-366
4.1,-367
4.4,-368
4.7,-369
5,-370
5.2,-371
5.4,-372
5.6,-373
5.8,-374
6,-375
6.2,-376
6.4,-377
6.6,-378
6.8,-379
7,-380
7.5,-381
8,-382
8.5,-383
9,-384
9.5,-385
10,-386
10.5,-387
11,-388
11.5,-389
12,-390
12.7,-391
13.4,-392
14.1,-393
14.8,-394
15.5,-395
16.2,-396
16.9,-397
17.6,-398
18.3,-399
19,-400
19.6,-401
20.2,-402
20.8,-403
21.4,-404
22,-405
22.6,-406
23.2,-407
23.8,-408
24.4,-409
25,-410
26.2,-411
27.4,-412
28.6,-413
29.8,-414
31,-415
32.2,-416
33.4,-417
34.6,-418
35.8,-419
37,-420
38.3,-421
39.6,-422
40.9,-423
42.2,-424
43.5,-425
44.8,-426
46.1,-427
47.4,-428
48.7,-429
50,-430
51.8,-431
53.6,-432
55.4,-433
57.2,-434
59,-435
60.8,-436
62.6,-437
64.4,-438
66.2,-439
68,-440
71.2,-441
74.4,-442
77.6,-443
80.8,-444
84,-445
87.2,-446
90.4,-447
93.6,-448
96.8,-449
100,-450
110,-451
120,-452
130,-451
140,-449.72
150,-449.72
250,-449.72
350,-449.72
360,-449.72
370,-450
371,-450.2
372,-450.4
373,-450.6
374,-450.8
375,-451
376,-451.2
377,-451.4
378,-451.6
379,-451.8
380,-452
381,-452.2
382,-452.4
383,-452.6
384,-452.8
385,-453
386,-453.2
387,-453.4
388,-453.6
389,-453.8
390,-454
391,-454.1
392,-454.2
393,-454.3
394,-454.4
395,-454.5
396,-454.6
397,-454.7
398,-454.8
399,-454.9
400,-455
401,-455.3
402,-455.6
403,-455.9
404,-456.2
405,-456.5
406,-456.8
407,-457.1
408,-457.4
409,-457.7
410,-458
411,-458.4
412,-458.8
413,-459.2
414,-459.6
415,-460
416,-460.4
417,-460.8
418,-461.2
419,-461.6
420,-462
421,-462.3
422,-462.6
423,-462.9
424,-463.2
425,-463.5
426,-463.8
427,-464.1
428,-464.4
429,-464.7
430,-465
431,-465.7
432,-466.4
433,-467.1
434,-467.8
435,-468.5
436,-469.2
437,-469.9
438,-470.6
439,-471.3
440,-472
441,-472.6
442,-473.2
443,-473.8
444,-474.4
445,-475
446,-475.6
447,-476.2
448,-476.8
449,-477.4
450,-478
451,-479
452,-480
453,-481
454,-482
455,-483
456,-484
457,-485
458,-486
459,-487
460,-488
461,-489
462,-490
463,-491
464,-492
465,-493
466,-494
467,-495
468,-496
469,-497
470,-498
471,-499.7
472,-501.4
473,-503.1
474,-504.8
475,-506.5
476,-508.2
477,-509.9
478,-511.6
479,-513.3
480,-515
481,-518
482,-521
483,-524
484,-527
485,-530
486,-533
487,-536
488,-539
489,-542
490,-545
491,-575
490,-605
489,-609
488,-613
487,-617
486,-621
485,-625
484,-629
483,-633
482,-637
481,-641
480,-645
479,-646.8
478,-648.6
477,-650.4
476,-652.2
475,-654
474,-655.8
473,-657.6
472,-659.4
471,-661.2
470,-663
469,-664.5
468,-666
467,-667.5
466,-669
465,-670.5
464,-672
463,-673.5
462,-675
461,-676.5
460,-678
459,-679
458,-680
457,-681
456,-682
455,-683
454,-684
453,-685
452,-686
451,-687
450,-688
449,-688.8
448,-689.6
447,-690.4
446,-691.2
445,-692
444,-692.8
443,-693.6
442,-694.4
441,-695.2
440,-696
439,-696.6
438,-697.2
437,-697.8
436,-698.4
435,-699
434,-699.6
433,-700.2
432,-700.8
431,-701.4
430,-702
429,-702.6
428,-703.2
427,-703.8
426,-704.4
425,-705
424,-705.6
423,-706.2
422,-706.8
421,-707.4
420,-708
419,-708.3
418,-708.6
417,-708.9
416,-709.2
415,-709.5
414,-709.8
413,-710.1
412,-710.4
411,-710.7
410,-711
409,-711.3
408,-711.6
407,-711.9
406,-712.2
405,-712.5
404,-712.8
403,-713.1
402,-713.4
401,-713.7
400,-714
399,-714.1
398,-714.2
397,-714.3
396,-714.4
395,-714.5
394,-714.6
393,-714.7
392,-714.8
391,-714.9
390,-715
389,-715.18
388,-715.36
387,-715.54
386,-715.72
385,-715.9
384,-716.08
383,-716.26
382,-716.44
381,-716.62
380,-716.87
300,-716.87
200,-716.87
100,-716.87
0,-716.87
-100,-716.87
-200,-716.87
-270,-716.87
-280,-716.87
-281,-716.483
-282,-716.096
-283,-715.709
-284,-715.322
-285,-714.935
-286,-714.548
-287,-714.161
-288,-713.774
-289,-713.387
-290,-713
-291,-712.8
-292,-712.6
-293,-712.4
-294,-712.2
-295,-712
-296,-711.8
-297,-711.6
-298,-711.4
-299,-711.2
-300,-711
-301,-710.8
-302,-710.6
-303,-710.4
-304,-710.2
-305,-710
-306,-709.8
-307,-709.6
-308,-709.4
-309,-709.2
-310,-709
-311,-708.7
-312,-708.4
-313,-708.1
-314,-707.8
-315,-707.5
-316,-707.2
-317,-706.9
-318,-706.6
-319,-706.3
-320,-706
-321,-705.7
-322,-705.4
-323,-705.1
-324,-704.8
-325,-704.5
-326,-704.2
-327,-703.9
-328,-703.6
-329,-703.3
-330,-703
-331,-702.5
-332,-702
-333,-701.5
-334,-701
-335,-700.5
-336,-700
-337,-699.5
-338,-699
-339,-698.5
-340,-698
-341,-697.2
-342,-696.4
-343,-695.6
-344,-694.8
-345,-694
-346,-693.2
-347,-692.4
-348,-691.6
-349,-690.8
-350,-690
-351,-689.3
-352,-688.6
-353,-687.9
-354,-687.2
-355,-686.5
-356,-685.8
-357,-685.1
-358,-684.4
-359,-683.7
-360,-683
-361,-682.1
-362,-681.2
-363,-680.3
-364,-679.4
-365,-678.5
-366,-677.6
-367,-676.7
-368,-675.8
-369,-674.9
-370,-674
-371,-672.7
-372,-671.4
-373,-670.1
-374,-668.8
-375,-667.5
-376,-666.2
-377,-664.9
-378,-663.6
-379,-662.3
-380,-661
-381,-659.1
-382,-657.2
-383,-655.3
-384,-653.4
-385,-651.5
-386,-649.6
-387,-647.7
-388,-645.8
-389,-643.9
-390,-642
-391,-637.6
-392,-633.2
-393,-628.8
-394,-624.4
-395,-620
-396.55,-600
-396.55,-500
-396.55,-400
-396.55,-360
-396.395,-359
-396.24,-358
-396.085,-357
-395.93,-356
-395.775,-355
-395.62,-354
-395.465,-353
-395.31,-352
-395.155,-351
-395,-350
-394.8,-349
-394.6,-348
-394.4,-347
-394.2,-346
-394,-345
-393.8,-344
-393.6,-343
-393.4,-342
-393.2,-341
-393,-340
-392.8,-339
-392.6,-338
-392.4,-337
-392.2,-336
-392,-335
-391.8,-334
-391.6,-333
-391.4,-332
-391.2,-331
-391,-330
-390.6,-329
-390.2,-328
-389.8,-327
