PosX,PosY
10,0
10,-100
10,-200
10,-300
10,-350
10.2,-351
10.4,-352
10.6,-353
10.8,-354
11,-355
11.2,-356
11.4,-357
11.6,-358
11.8,-359
12,-360
12.2,-361
12.4,-362
12.6,-363
12.8,-364
13,-365
13.2,-366
13.4,-367
13.6,-368
13.8,-369
14,-370
14.4,-371
14.8,-372
15.2,-373
15.6,-374
16,-375
16.4,-376
16.8,-377
17.2,-378
17.6,-379
18,-380
18.6,-381
19.2,-382
19.8,-383
20.4,-384
21,-385
21.6,-386
22.2,-387
22.8,-388
23.4,-389
24,-390
24.7,-391
25.4,-392
26.1,-393
26.8,-394
27.5,-395
28.2,-396
28.9,-397
29.6,-398
30.3,-399
31,-400
31.8,-401
32.6,-402
33.4,-403
34.2,-404
35,-405
35.8,-406
36.6,-407
37.4,-408
38.2,-409
39,-410
40.1,-411
41.2,-412
42.3,-413
43.4,-414
44.5,-415
45.6,-416
46.7,-417
47.8,-418
48.9,-419
50,-420
51.9,-421
53.8,-422
55.7,-423
57.6,-424
59.5,-425
61.4,-426
63.3,-427
65.2,-428
67.1,-429
69,-430
72.5,-431
76,-432
79.5,-433
83,-434
86.5,-435
90,-436
93.5,-437
97,-438
100.5,-439
104,-440
108,-441
112,-442
116,-443
120,-442
124,-441
128,-440
200,-440
300,-440
370,-440
371,-440.2
372,-440.4
373,-440.6
374,-440.8
375,-441
376,-441.2
377,-441.4
378,-441.6
379,-441.8
380,-442
381,-442.1
382,-442.2
383,-442.3
384,-442.4
385,-442.5
386,-442.6
387,-442.7
388,-442.8
389,-442.9
390,-443
391,-443.2
392,-443.4
393,-443.6
394,-443.8
395,-444
396,-444.2
397,-444.4
398,-444.6
399,-444.8
400,-445
401,-445.2
402,-445.4
403,-445.6
404,-445.8
405,-446
406,-446.2
407,-446.4
408,-446.6
409,-446.8
410,-447
411,-447.3
412,-447.6
413,-447.9
414,-448.2
415,-448.5
416,-448.8
417,-449.1
418,-449.4
419,-449.7
420,-450
421,-450.5
422,-451
423,-451.5
424,-452
425,-452.5
426,-453
427,-453.5
428,-454
429,-454.5
430,-455
431,-455.5
432,-456
433,-456.5
434,-457
435,-457.5
436,-458
437,-458.5
438,-459
439,-459.5
440,-460
441,-460.6
442,-461.2
443,-461.8
444,-462.4
445,-463
446,-463.6
447,-464.2
448,-464.8
449,-465.4
450,-466
451,-466.8
452,-467.6
453,-468.4
454,-469.2
455,-470
456,-470.8
457,-471.6
458,-472.4
459,-473.2
460,-474
461,-475.1
462,-476.2
463,-477.3
464,-478.4
465,-479.5
466,-480.6
467,-481.7
468,-482.8
469,-483.9
470,-485
471,-486.1
472,-487.2
473,-488.3
474,-489.4
475,-490.5
476,-491.6
477,-492.7
478,-493.8
479,-494.9
480,-496
481,-497.5
482,-499
483,-500.5
484,-502
485,-503.5
486,-505
487,-506.5
488,-508
489,-509.5
490,-511
491,-514.7
492,-518.4
493,-522.1
494,-525.8
495,-529.5
496,-533.2
497,-536.9
498,-540.6
499,-544.3
500,-548
501,-550
501,-600
500.8,-601
500.6,-602
500.4,-603
500.2,-604
500,-605
499.8,-606
499.6,-607
499.4,-608
499.2,-609
499,-610
498.8,-611
498.6,-612
498.4,-613
498.2,-614
498,-615
497.8,-616
497.6,-617
497.4,-618
497.2,-619
497,-620
496.7,-621
496.4,-622
496.1,-623
495.8,-624
495.5,-625
495.2,-626
494.9,-627
494.6,-628
494.3,-629
494,-630
493.7,-631
493.4,-632
493.1,-633
492.8,-634
492.5,-635
492.2,-636
491.9,-637
491.6,-638
491.3,-639
491,-640
490.6,-641
490.2,-642
489.8,-643
489.4,-644
489,-645
488.6,-646
488.2,-647
487.8,-648
487.4,-649
487,-650
486.6,-651
486.2,-652
485.8,-653
485.4,-654
485,-655
484.6,-656
484.2,-657
483.8,-658
483.4,-659
483,-660
482.4,-661
481.8,-662
481.2,-663
480.6,-664
480,-665
479.4,-666
478.8,-667
478.2,-668
477.6,-669
477,-670
476.3,-671
475.6,-672
474.9,-673
474.2,-674
473.5,-675
472.8,-676
472.1,-677
471.4,-678
470.7,-679
470,-680
469.2,-681
468.4,-682
467.6,-683
466.8,-684
466,-685
465.2,-686
464.4,-687
463.6,-688
462.8,-689
462,-690
461,-691
460,-692
459,-693
458,-694
457,-695
456,-696
455,-697
454,-698
453,-699
452,-700
450.8,-701
449.6,-702
448.4,-703
447.2,-704
446,-705
444.8,-706
443.6,-707
442.4,-708
441.2,-709
440,-710
438.1,-711
436.2,-712
434.3,-713
432.4,-714
430.5,-715
428.6,-716
426.7,-717
424.8,-718
422.9,-719
421,-720
414.17,-721
407.34,-722
400.51,-723
393.68,-724
386.85,-725
380,-726
367,-727
300,-727
200,-727
100,-727
0,-727
-100,-727
-200,-727
-270,-727
-271,-726.9
-272,-726.8
-273,-726.7
-274,-726.6
-275,-726.5
-276,-726.4
-277,-726.3
-278,-726.2
-279,-726.1
-280,-726
-281,-725.9
-282,-725.8
-283,-725.7
-284,-725.6
-285,-725.5
-286,-725.4
-287,-725.3
-288,-725.2
-289,-725.1
-290,-725
-291,-724.8
-292,-724.6
-293,-724.4
-294,-724.2
-295,-724
-296,-723.8
-297,-723.6
-298,-723.4
-299,-723.2
-300,-723
-301,-722.8
-302,-722.6
-303,-722.4
-304,-722.2
-305,-722
-306,-721.8
-307,-721.6
-308,-721.4
-309,-721.2
-310,-721
-311,-720.7
-312,-720.4
-313,-720.1
-314,-719.8
-315,-719.5
